question,Real__Query,REST
investments exist in Agriculture?,"query Data {
  deals(
    filters: [
      {
        field: ""current_intention_of_investment"",
        operation: OVERLAP,
        value: [""BIOFUELS"", ""BIOMASS_ENERGY_GENERATION"", ""FODDER"",
                                        ""FOOD_CROPS"", ""LIVESTOCK"", ""NON_FOOD_AGRICULTURE"",
                                  ""AGRICULTURE_UNSPECIFIED""]
      }
    ]
  ) { 
           id
    country {id name code_alpha2}
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?intention_of_investment=BIOFUELS&intention_of_investment=BIOMASS_ENERGY_GENERATION&intention_of_investment=FODDER&intention_of_investment=FOOD_CROPS&intention_of_investment=LIVESTOCK&intention_of_investment=NON_FOOD_AGRICULTURE&intention_of_investment=AGRICULTURE_UNSPECIFIED
investments exist in Forestry?,"query Data {
  deals(
    filters: [
      {
        field: ""current_intention_of_investment"",
        operation: OVERLAP,
        value: [""BIOMASS_ENERGY_PRODUCTION"", ""CARBON"",
                                        ""FOREST_LOGGING"", ""TIMBER_PLANTATION"",
                                        ""FORESTRY_UNSPECIFIED""]
      }
    ]
  ) { 
           id
    country {id name code_alpha2}
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?intention_of_investment=BIOMASS_ENERGY_PRODUCTION&intention_of_investment=CARBON&intention_of_investment=FOREST_LOGGING&intention_of_investment=TIMBER_PLANTATION&intention_of_investment=FORESTRY_UNSPECIFIED
investments exist in Mining?,"query Data {
  deals(
    filters: [
      {
        field: ""current_intention_of_investment"",
        operation: OVERLAP,
        value: [""MINING""]
      }
    ]
  ) { 
           id
    country {id name code_alpha2}
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?intention_of_investment=MINING
What types of investment exist in Ethiopia?,"query Data {
  deals(
    filters: [
      {field: ""country.id"", operation: EQ, value: 231 }
    ]
  ) { 
           id
    country {id name code_alpha2}
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?country_id=231
What types of investment exist in Hungary?,"query Data {
  deals(
    filters: [
      {field: ""country.id"", operation: EQ, value: 348 }
    ]
  ) { 
           id
    country {id name code_alpha2}
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?country_id=348
What types of investment exist in China since 2010?,"query Data {
  deals(
    filters: [
      {field: ""country.id"", operation: EQ, value: 446 }
      {field: ""initiation_year"", operation: GE, value: 2010, allow_null: true}
    ]
  ) { 
           id
    country {id name code_alpha2}
    initiation_year
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?country_id=446&initiation_year_min=2010&initiation_year_null=true
What types of investment exist in Palau since 2000?,"query Data {
  deals(
    filters: [
      {field: ""country.id"", operation: EQ, value: 585 }
      {field: ""initiation_year"", operation: GE, value: 2000, allow_null: true}
    ]
  ) { 
           id
    country {id name code_alpha2}
    initiation_year
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?country_id=585&initiation_year_min=2000&initiation_year_null=true
What types of investment exist in Anguilla since 2020?,"query Data {
  deals(
    filters: [
      {field: ""country.id"", operation: EQ, value: 660 }
      {field: ""initiation_year"", operation: GE, value: 2020, allow_null: true}
    ]
  ) { 
           id
    country {id name code_alpha2}
    initiation_year
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?country_id=660&initiation_year_min=2020&initiation_year_null=true
What types of investment exist in Africa since 2010?,"query Data {
  deals(
    filters: [
      {field: ""country.region.id"", operation: EQ, value: 2 }
      {field: ""initiation_year"", operation: GE, value: 2010, allow_null: true}
    ]
  ) { 
           id
    country {
      id
      name
      code_alpha2
      region {id, name}
    }
    initiation_year
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?initiation_year_min=2010&initiation_year_null=true&region_id=2
What types of investment exist in South-East Asia since 2010?,"query Data {
  deals(
    filters: [
      {field: ""country.region.id"", operation: EQ, value: 142 }
      {field: ""initiation_year"", operation: GE, value: 2010, allow_null: true}
    ]
  ) { 
           id
    country {
      id
      name
      code_alpha2
      region {id, name}
    }
    initiation_year
    current_intention_of_investment
  }
}",https://landmatrix.org/api/deals/?initiation_year_min=2010&initiation_year_null=true&region_id=142
